,Öğrenci_Bilgisi,Not_Bilgisi
1680,"Tucker, Samantha",88.0
1681,"Murphy, Carlos",70.0
1682,"Richardson, Alexia",68.0
1683,"Davis, Patrick",60.0
1684,"Adams, Ada",75.0
1685,"Ellis, Henry",66.0
1686,"Carroll, Sarah",58.0
1687,"Moore, Sabrina",100.0
1688,"Chapman, Julia",71.0
1689,"Reed, Henry",83.0
1690,"Myers, Maddie",85.0
1691,"Wright, Daisy",65.0
1692,"Richardson, Edith",62.0
1693,"Williams, Amber",60.0
1694,"Anderson, Lucia",51.0
1695,"Russell, Bruce",95.0
1696,"Thompson, Oliver",77.0
1697,"Fowler, Daisy",95.0
1698,"Sullivan, Nicholas",64.0
1699,"Williams, Lucas",52.0
1700,"Reed, Thomas",71.0
1701,"Carter, Daniel",76.0
1702,"Turner, Owen",40.0
1703,"Stewart, Tyler",49.0
1704,"Henderson, Agata",60.0
1705,"Johnson, Tyler",49.0
1706,"Ross, Carina",71.0
1707,"Russell, Lily",43.0
1708,"Perkins, Sarah",70.0
1709,"Hawkins, Paige",60.0
1710,"Wright, Charlie",77.0
1711,"Johnston, Garry",52.0
1712,"Murray, Stella",53.0
1713,"Hawkins, Aida",85.0
1714,"Cooper, Maria",58.0
1715,"Stevens, Lily",73.0
1716,"Crawford, Freddie",86.0
1717,"Armstrong, Caroline",86.0
1718,"Murphy, Aida",82.0
1719,"Morrison, Garry",89.0
1720,"Fowler, Preston",70.0
1721,"Perry, Alan",81.0
1722,"Clark, Natalie",100.0
1723,"Wright, Jared",72.0
1724,"Fowler, Lucas",78.0
1725,"Harrison, Sabrina",67.0
1726,"Adams, Kelvin",47.0
1727,"Tucker, Frederick",70.0
1728,"Richardson, Reid",74.0
1729,"Turner, Frederick",64.0
1730,"Warren, Annabella",93.0
1731,"Russell, Naomi",91.0
1732,"Howard, Arthur",38.0
1733,"Scott, Amanda",89.0
1734,"Carter, Kristian",50.0
1735,"West, Patrick",100.0
1736,"Roberts, Reid",65.0
1737,"Stevens, Kirsten",70.0
1738,"Campbell, Sawyer",61.0
1739,"Davis, Sabrina",90.0
1740,"Gray, Briony",60.0
1741,"Davis, Tess",53.0
1742,"Armstrong, Joyce",70.0
1743,"Casey, Melanie",68.0
1744,"Clark, Justin",67.0
1745,"Cunningham, Tiana",56.0
1746,"Douglas, Marcus",89.0
1747,"Perkins, William",29.0
1748,"Harrison, Brad",75.0
1749,"Hawkins, Annabella",64.0
1750,"Richards, Amy",76.0
1751,"Armstrong, Naomi",57.0
1752,"Baker, Emma",100.0
1753,"Cunningham, James",82.0
1754,"Spencer, Adam",71.0
1755,"Hunt, Alissa",72.0
1756,"Spencer, Bruce",44.0
1757,"Phillips, Carlos",57.0
1758,"Bailey, Thomas",95.0
1759,"Hawkins, Maximilian",62.0
1760,"Owens, Lana",67.0
1761,"Cameron, Arnold",96.0
1762,"Smith, Melanie",32.0
1763,"Holmes, Antony",40.0
1764,"Smith, Spike",71.0
1765,"Moore, Tiana",70.0
1766,"Jones, Vanessa",100.0
1767,"Harrison, Cadie",100.0
1768,"Clark, Henry",45.0
1769,"Hunt, Belinda",55.0
1770,"Barnes, Vivian",76.0
1771,"Jones, Maximilian",68.0
1772,"Howard, Daryl",96.0
1773,"Perry, Rafael",77.0
1774,"Watson, Alisa",83.0
1775,"Ellis, Oliver",79.0
1776,"Carter, Alen",47.0
1777,"Stevens, Lana",52.0
1778,"Riley, Myra",62.0
1779,"Payne, Brooke",48.0
1780,"Kelly, Brooke",75.0
1781,"Douglas, Maria",89.0
1782,"Casey, Daryl",40.0
1783,"Watson, Michael",55.0
1784,"Bennett, James",49.0
1785,"West, Caroline",38.0
1786,"Reed, Martin",100.0
1787,"Bennett, Rubie",69.0
1788,"Dixon, Aida",65.0
1789,"Wilson, Lily",46.0
1790,"Myers, Paige",56.0
1791,"Campbell, Brooke",78.0
1792,"Douglas, Kristian",55.0
1793,"Foster, Thomas",46.0
1794,"Warren, Ada",70.0
1795,"Richardson, Brooke",76.0
1796,"Howard, Richard",70.0
1797,"Fowler, Richard",38.0
1798,"Brown, Lilianna",100.0
1799,"Sullivan, Jasmine",85.0
1800,"Johnston, Nicholas",73.0
1801,"Russell, Sabrina",72.0
1802,"Richards, Vivian",98.0
1803,"Barnes, Wilson",72.0
1804,"Kelley, Derek",68.0
1805,"Phillips, Victor",55.0
1806,"Watson, Aldus",56.0
1807,"West, Richard",42.0
1808,"Murphy, Charlotte",78.0
1809,"Anderson, Myra",54.0
1810,"Howard, Alford",73.0
1811,"Casey, Adrianna",66.0
1812,"Alexander, Elise",77.0
1813,"Davis, Cherry",82.0
1814,"Cooper, Brad",80.0
1815,"Anderson, Carlos",92.0
1816,"Adams, Anna",68.0
1817,"Barrett, Brad",51.0
1818,"Taylor, Myra",59.0
1819,"Cooper, Walter",74.0
1820,"Clark, Elian",79.0
1821,"Stevens, Adam",60.0
1822,"Douglas, Henry",69.0
1823,"Brown, Eddy",80.0
1824,"Richards, Marcus",71.0
1825,"Hall, Ellia",72.0
1826,"Ross, Cadie",91.0
1827,"Johnson, Daniel",52.0
1828,"Smith, Nicholas",77.0
1829,"Bennett, Charlotte",38.0
1830,"Williams, Belinda",74.0
1831,"Riley, Charlotte",75.0
1832,"Taylor, Agata",79.0
1833,"Roberts, Gianna",92.0
1834,"Fowler, Freddie",40.0
1835,"Morrison, Victoria",62.0
1836,"Payne, Naomi",91.0
1837,"Casey, Oliver",49.0
1838,"Brown, Catherine",39.0
1839,"Crawford, Sawyer",65.0
1840,"Dixon, Owen",100.0
1841,"Cole, Alan",75.0
1842,"Williams, Rafael",67.0
1843,"Jones, James",67.0
1844,"Thompson, Amy",79.0
1845,"Armstrong, Adrian",60.0
1846,"Richardson, Olivia",85.0
1847,"Anderson, Camila",58.0
1848,"Moore, Patrick",44.0
1849,"Gibson, Anna",49.0
1850,"Reed, Ryan",80.0
1851,"Owens, Antony",66.0
1852,"Warren, Alan",87.0
1853,"Farrell, Marcus",66.0
1854,"Wright, Nicholas",65.0
1855,"Perry, Steven",71.0
1856,"Adams, Lucia",78.0
1857,"Ryan, Carina",73.0
1858,"Johnston, Charlotte",87.0
1859,"Hunt, Derek",69.0
1860,"Phillips, Jasmine",75.0
1861,"Higgins, Joyce",74.0
1862,"Hall, Byron",85.0
1863,"Reed, Justin",72.0
1864,"Cooper, James",55.0
1865,"Murray, Anna",92.0
1866,"Fowler, Oliver",63.0
1867,"Douglas, Derek",72.0
1868,"Adams, Michael",80.0
1869,"Thompson, Maria",68.0
1870,"Brown, Kimberly",62.0
1871,"Spencer, Nicholas",50.0
1872,"Gibson, George",64.0
1873,"Henderson, Ryan",49.0
1874,"Reed, Isabella",61.0
1875,"Hall, Brad",57.0
1876,"Stewart, Vanessa",80.0
1877,"Murray, Melanie",40.0
1878,"Watson, Walter",37.0
1879,"Higgins, Lily",100.0
1880,"Stewart, Owen",57.0
1881,"West, Nicholas",92.0
1882,"Payne, Kristian",80.0
1883,"Stewart, Maria",45.0
1884,"Brooks, Spike",52.0
1885,"Cole, Ashton",49.0
1886,"Tucker, Jasmine",100.0
1887,"Ellis, Vanessa",71.0
1888,"Harper, Charlie",85.0
1889,"Ross, Oscar",100.0
1890,"Richards, Antony",89.0
1891,"Ross, George",87.0
1892,"West, Kellan",73.0
1893,"Johnson, Henry",94.0
1894,"Owens, Eddy",37.0
1895,"Richards, Ada",72.0
1896,"Harrison, Maddie",85.0
1897,"Johnston, David",40.0
1898,"Henderson, Kimberly",54.0
1899,"Campbell, Catherine",73.0
1900,"Reed, Gianna",82.0
1901,"Alexander, Adam",96.0
1902,"Miller, Amelia",92.0
1903,"Holmes, Charlotte",69.0
1904,"Howard, Edgar",60.0
1905,"Cunningham, Martin",53.0
1906,"Harrison, Miley",55.0
1907,"Murray, Jasmine",74.0
1908,"Murray, Carlos",70.0
1909,"Murray, Belinda",100.0
1910,"Cunningham, Lucia",88.0
1911,"Scott, Vivian",90.0
1912,"Perkins, Emma",76.0
1913,"Allen, Victor",54.0
1914,"Hall, Valeria",53.0
1915,"Casey, David",56.0
1916,"Harris, Brooke",94.0
1917,"Payne, Cherry",74.0
1918,"Elliott, Tess",75.0
1919,"Henderson, Owen",85.0
1920,"Watson, Tony",48.0
1921,"Perry, Melanie",58.0
1922,"Hawkins, Belinda",49.0
1923,"Kelly, Lucas",60.0
1924,"Mitchell, Sabrina",69.0
1925,"Anderson, Daisy",72.0
1926,"Roberts, Tony",39.0
1927,"Armstrong, Myra",73.0
1928,"Johnston, Wilson",87.0
1929,"Evans, Justin",73.0
1930,"Watson, Patrick",74.0
1931,"Higgins, Nicholas",85.0
1932,"Davis, Victoria",89.0
1933,"Williams, Cadie",65.0
1934,"Ryan, Spike",58.0
1935,"Moore, Amanda",77.0
1936,"Allen, Nicholas",86.0
1937,"Allen, Eleanor",96.0
1938,"Foster, Sabrina",76.0
1939,"Douglas, Spike",60.0
1940,"Harrison, Aldus",70.0
1941,"Cameron, Carlos",58.0
1942,"Hall, Catherine",83.0
1943,"Stewart, Michael",79.0
1944,"Johnston, Samantha",78.0
1945,"Warren, Steven",85.0
1946,"Wright, Ashton",74.0
1947,"Chapman, William",85.0
1948,"Gray, Michael",64.0
1949,"Kelly, Martin",61.0
1950,"Wells, Charlotte",67.0
1951,"Phillips, Naomi",46.0
1952,"Harris, Tara",73.0
1953,"Howard, Melissa",93.0
1954,"Ross, Myra",89.0
1955,"Adams, Natalie",60.0
1956,"Ellis, Sawyer",43.0
1957,"Moore, Samantha",35.0
1958,"Hill, Albert",55.0
1959,"Wilson, Sawyer",53.0
1960,"Ellis, Brad",57.0
1961,"Cameron, Reid",98.0
1962,"Stevens, Alisa",44.0
1963,"Armstrong, Sawyer",77.0
1964,"Kelly, Ellia",75.0
1965,"Tucker, Tara",82.0
1966,"Brown, Kelvin",58.0
1967,"West, Alisa",83.0
1968,"Cameron, Kimberly",79.0
1969,"Alexander, Derek",29.0
1970,"West, Fenton",72.0
1971,"Wilson, Julia",63.0
1972,"Mitchell, Elian",27.0
1973,"Elliott, Aida",84.0
1974,"Casey, Agata",54.0
1975,"Bennett, Stella",84.0
1976,"Carroll, Frederick",72.0
1977,"Wilson, Martin",97.0
1978,"Turner, Clark",88.0
1979,"Fowler, Melissa",85.0
1980,"Harris, Ada",77.0
1981,"West, Daisy",73.0
1982,"Ferguson, Catherine",82.0
1983,"Taylor, Sawyer",81.0
1984,"Watson, Olivia",73.0
1985,"Martin, Eleanor",45.0
1986,"Myers, Byron",68.0
1987,"Dixon, Steven",85.0
1988,"Carter, Steven",84.0
1989,"Hall, Tony",78.0
1990,"Hall, Daryl",51.0
1991,"Owens, Preston",84.0
1992,"Johnston, Arnold",63.0
1993,"Dixon, Alan",75.0
1994,"Reed, Adrianna",73.0
1995,"Phillips, Adrian",78.0
1996,"Moore, Lucia",49.0
1997,"Ross, Alford",55.0
1998,"Fowler, Ada",49.0
1999,"Roberts, Alexia",74.0
2000,"Tucker, Amelia",78.0
2001,"Foster, Daniel",62.0
2002,"Riley, Annabella",95.0
2003,"Thompson, Alexia",49.0
2004,"Turner, Ryan",71.0
2005,"Phillips, Patrick",56.0
2006,"Wells, Wilson",84.0
2007,"Cole, Lucas",81.0
2008,"Jones, Valeria",86.0
2009,"Murray, Victoria",74.0
2010,"Ross, Dominik",74.0
2011,"Ross, Antony",52.0
2012,"Brooks, Antony",66.0
2013,"Davis, Bruce",86.0
2014,"Cameron, Myra",61.0
2015,"Miller, Ada",80.0
2016,"Barnes, Owen",66.0
2017,"Brown, Lucas",93.0
2018,"Bennett, Melissa",82.0
2019,"Perry, Frederick",77.0
2020,"Warren, Daisy",69.0
2021,"Phillips, Charlotte",54.0
2022,"Cameron, Martin",55.0
2023,"Harris, Kelsey",95.0
2024,"Foster, James",50.0
2025,"Bailey, Adrianna",94.0
2026,"Fowler, Walter",78.0
2027,"Brown, Paige",82.0
2028,"Henderson, Steven",71.0
2029,"Adams, Elian",81.0
2030,"Harper, Rubie",68.0
2031,"Evans, Jared",75.0
2032,"Henderson, Kristian",79.0
2033,"Russell, Stuart",79.0
2034,"Hawkins, Lily",69.0
2035,"Richards, Jared",51.0
2036,"Clark, Eleanor",34.0
2037,"Wright, Victoria",50.0
2038,"Farrell, Vanessa",64.0
2039,"Henderson, Elian",100.0
2040,"Sullivan, Clark",86.0
2041,"Turner, Joyce",78.0
2042,"Hall, Kellan",67.0
2043,"Riley, William",65.0
2044,"Richards, Maria",88.0
2045,"Barnes, Amy",77.0
2046,"Adams, Alen",72.0
2047,"Smith, Victor",67.0
2048,"Armstrong, Marcus",69.0
2049,"Turner, Kimberly",64.0
2050,"Bailey, Ellia",98.0
2051,"Fowler, Gianna",43.0
2052,"Crawford, Oliver",49.0
2053,"Murray, Preston",72.0
2054,"Wright, Sarah",83.0
2055,"Crawford, Alisa",70.0
2056,"Clark, David",66.0
2057,"Cooper, Rafael",71.0
2058,"Carter, Preston",44.0
2059,"Baker, Charlotte",86.0
2060,"Perkins, Melissa",55.0
2061,"Davis, Lily",59.0
2062,"Hawkins, Melanie",75.0
2063,"Kelley, Carina",71.0
2064,"Myers, Penelope",98.0
2065,"Hunt, Preston",71.0
2066,"Morrison, Vanessa",81.0
2067,"Tucker, Lily",72.0
2068,"Dixon, Victor",68.0
2069,"Mitchell, Justin",55.0
2070,"Richards, Melanie",42.0
2071,"Jones, Myra",65.0
2072,"Harper, Rafael",80.0
2073,"Barnes, Stuart",29.0
2074,"Jones, Arthur",80.0
2075,"Miller, Albert",83.0
2076,"Hawkins, Julia",59.0
2077,"Johnson, Maddie",75.0
2078,"Fowler, Natalie",100.0
2079,"Alexander, Agata",71.0
2080,"Watson, Tara",62.0
2081,"Elliott, Samantha",92.0
2082,"Warren, Sawyer",79.0
2083,"Ryan, Emma",55.0
2084,"Richards, April",47.0
2085,"Farrell, Alen",60.0
2086,"Johnston, Tony",52.0
2087,"Murphy, Patrick",52.0
2088,"Johnston, Lana",78.0
2089,"Smith, George",89.0
2090,"Warren, Rafael",81.0
2091,"Douglas, Ryan",82.0
2092,"Ross, Emma",84.0
2093,"Harris, Lilianna",82.0
2094,"Sullivan, Ted",66.0
2095,"Farrell, Agata",61.0
2096,"Miller, Julia",49.0
2097,"Thompson, Marcus",57.0
2098,"Johnson, Dominik",92.0
2099,"Phillips, Agata",56.0
2100,"Farrell, Daryl",47.0
2101,"Perry, Agata",71.0
2102,"Carter, Carina",81.0
2103,"Kelley, Camila",100.0
2104,"Davis, Myra",97.0
2105,"Moore, George",58.0
2106,"Martin, Fenton",84.0
2107,"Spencer, Freddie",64.0
2108,"Ryan, Eleanor",40.0
2109,"Kelly, Amelia",43.0
2110,"Perkins, George",68.0
2111,"Stevens, Nicholas",50.0
2112,"Phillips, Kellan",94.0
2113,"Anderson, James",50.0
2114,"Fowler, Garry",84.0
2115,"Scott, Naomi",57.0
2116,"Anderson, Kellan",80.0
2117,"Hunt, Adam",61.0
2118,"Phillips, Garry",64.0
2119,"Scott, Alen",81.0
2120,"Dixon, Kirsten",67.0
2121,"Turner, Derek",100.0
2122,"Payne, Aldus",66.0
2123,"Holmes, Amber",89.0
2124,"Phillips, Maximilian",55.0
2125,"Myers, Lana",88.0
2126,"Bailey, Charlotte",78.0
2127,"Harris, Roland",74.0
2128,"Clark, Preston",63.0
2129,"Turner, Sabrina",67.0
2130,"Wilson, Annabella",68.0
2131,"Phillips, Amber",90.0
2132,"Elliott, Jasmine",89.0
2133,"Martin, Kellan",84.0
2134,"Gibson, Freddie",69.0
2135,"Miller, George",72.0
2136,"Alexander, Richard",89.0
2137,"Fowler, Alen",60.0
2138,"Adams, Myra",70.0
2139,"Johnson, Thomas",63.0
2140,"Turner, Kelsey",71.0
2141,"Richardson, Ashton",62.0
2142,"Hawkins, Clark",76.0
2143,"Barnes, Emma",40.0
2144,"Carter, Ada",53.0
2145,"Farrell, Maria",87.0
2146,"Murray, Amanda",74.0
2147,"Williams, Preston",42.0
2148,"Dixon, Lily",61.0
2149,"Clark, Jared",81.0
2150,"Henderson, Sabrina",60.0
2151,"Ryan, Naomi",34.0
2152,"Thompson, Alissa",71.0
2153,"Johnston, Abigail",60.0
2154,"Johnston, Cadie",87.0
2155,"Chapman, Vanessa",70.0
2156,"Foster, Tyler",33.0
2157,"Ellis, Frederick",56.0
2158,"Ellis, Brooke",85.0
2159,"Dixon, Tiana",53.0
2160,"Perry, Charlie",65.0
2161,"Perry, April",81.0
2162,"Fowler, Annabella",73.0
2163,"Wells, Brooke",87.0
2164,"Campbell, Spike",75.0
2165,"Fowler, Adrianna",62.0
2166,"Clark, Ada",53.0
2167,"Baker, Rubie",73.0
2168,"Riley, Marcus",46.0
2169,"Roberts, Daryl",89.0
2170,"Cameron, Arthur",69.0
2171,"Hawkins, Samantha",96.0
2172,"Evans, Albert",41.0
2173,"Smith, Michael",95.0
2174,"Dixon, Maximilian",52.0
2175,"Miller, Lana",54.0
2176,"Barnes, Henry",64.0
2177,"Elliott, William",64.0
2178,"Smith, Kelvin",58.0
2179,"Owens, Chloe",48.0
2180,"Baker, Jasmine",79.0
2181,"Miller, Frederick",56.0
2182,"Holmes, Steven",71.0
2183,"Cole, Jenna",71.0
2184,"Cunningham, Olivia",77.0
2185,"Sullivan, Alen",85.0
2186,"Dixon, Cadie",86.0
2187,"Kelly, Henry",46.0
2188,"Ryan, Caroline",41.0
2189,"Sullivan, Patrick",70.0
2190,"Barnes, Carina",54.0
2191,"Douglas, Joyce",62.0
2192,"Hill, Miley",54.0
2193,"Thompson, Victoria",56.0
2194,"Perry, Jenna",78.0
2195,"Richardson, Valeria",80.0
2196,"Richards, Albert",76.0
2197,"Hawkins, Jared",74.0
2198,"Brown, David",66.0
2199,"Miller, Adrian",84.0
2200,"Campbell, Carlos",67.0
2201,"Spencer, Lucas",81.0
2202,"Hall, Sarah",92.0
2203,"Foster, Samantha",74.0
2204,"Gibson, Amanda",76.0
2205,"West, Aida",78.0
2206,"Howard, Clark",73.0
2207,"Foster, Jared",92.0
2208,"West, Elise",60.0
2209,"Martin, Jenna",46.0
2210,"Reed, Amber",86.0
2211,"Spencer, William",74.0
2212,"Wilson, Ada",71.0
2213,"Brown, Melissa",61.0
2214,"Dixon, Ellia",80.0
2215,"Wells, Abigail",44.0
2216,"Crawford, Olivia",21.0
2217,"Cunningham, Penelope",67.0
2218,"Morrison, Tiana",61.0
2219,"Hill, Jessica",78.0
2220,"Watson, Melissa",62.0
2221,"Hawkins, Kirsten",100.0
2222,"Martin, Walter",69.0
2223,"Jones, Carlos",91.0
2224,"Watson, Camila",72.0
2225,"Foster, Victor",62.0
2226,"Stevens, Antony",57.0
2227,"Moore, Jasmine",63.0
2228,"West, Melanie",65.0
2229,"Phillips, Daniel",58.0
2230,"Cooper, Bruce",64.0
2231,"Ryan, Ryan",66.0
2232,"Howard, Chloe",75.0
2233,"Baker, Stuart",55.0
2234,"Clark, Jessica",57.0
2235,"Tucker, Derek",36.0
2236,"Ferguson, George",54.0
2237,"Stevens, Brad",33.0
2238,"Hawkins, Patrick",100.0
2239,"Dixon, Roland",68.0
2240,"Stewart, James",76.0
2241,"Adams, Preston",74.0
2242,"Sullivan, Lana",63.0
2243,"Ellis, Owen",47.0
2244,"Hill, Sabrina",61.0
2245,"Davis, Jasmine",63.0
2246,"Owens, Edgar",81.0
2247,"Barnes, Albert",41.0
2248,"Elliott, Martin",74.0
2249,"Farrell, Martin",63.0
2250,"Holmes, Catherine",58.0
2251,"Harrison, Carlos",60.0
2252,"Ryan, Anna",67.0
2253,"Miller, Tyler",75.0
2254,"Armstrong, Samantha",78.0
2255,"Ferguson, Antony",65.0
2256,"Moore, Eddy",50.0
2257,"Wells, Alen",82.0
2258,"Turner, Victoria",75.0
2259,"Evans, Charlie",51.0
2260,"Howard, Kellan",79.0
2261,"Morrison, David",100.0
2262,"Harper, Ada",59.0
2263,"Hawkins, Kristian",89.0
2264,"Taylor, Penelope",98.0
2265,"Perry, Victor",59.0
2266,"Watson, Adrian",47.0
2267,"Hunt, Catherine",51.0
2268,"Harris, Antony",66.0
2269,"Bennett, Ashton",97.0
2270,"Harper, Sabrina",58.0
2271,"Watson, Tess",78.0
2272,"Carter, Ellia",59.0
2273,"Williams, Sarah",53.0
2274,"Foster, Edgar",89.0
2275,"Hawkins, Amy",65.0
2276,"Roberts, Kristian",81.0
2277,"Jones, Rafael",70.0
2278,"Carroll, Abigail",72.0
2279,"Cole, Daryl",99.0
2280,"Kelly, Carina",81.0
2281,"Harrison, Kristian",65.0
2282,"Stewart, Kirsten",52.0
2283,"Crawford, Antony",77.0
2284,"Wilson, Ted",62.0
2285,"Moore, Joyce",56.0
2286,"Barrett, Henry",72.0
2287,"Murray, Arnold",62.0
2288,"Murphy, Ellia",65.0
2289,"Mitchell, Tony",65.0
2290,"Harper, Aldus",62.0
2291,"Hall, Naomi",57.0
2292,"Stevens, Cherry",78.0
2293,"Chapman, Tiana",81.0
2294,"Henderson, Aida",76.0
2295,"Moore, Ryan",73.0
2296,"Holmes, Alisa",67.0
2297,"Allen, David",55.0
2298,"Turner, Camila",83.0
2299,"Harrison, Olivia",61.0
2300,"Barnes, April",75.0
2301,"Kelley, Steven",97.0
2302,"Johnson, Charlotte",100.0
2303,"Howard, Camila",73.0
2304,"Thompson, Eddy",93.0
2305,"Barrett, Natalie",70.0
2306,"Stewart, William",100.0
2307,"Henderson, Kelvin",69.0
2308,"Owens, Annabella",70.0
2309,"Anderson, Ashton",86.0
2310,"Cooper, Marcus",89.0
2311,"Jones, Jenna",45.0
2312,"Wilson, James",50.0
2313,"Kelly, Miley",78.0
2314,"Mitchell, Victor",53.0
2315,"Ryan, Brooke",71.0
2316,"Carroll, Tiana",78.0
2317,"Elliott, Myra",94.0
2318,"Bennett, Kirsten",73.0
2319,"Douglas, Daryl",78.0
2320,"Johnson, Ashton",87.0
2321,"Myers, Oliver",73.0
2322,"Hill, Caroline",78.0
2323,"Harris, Charlie",67.0
2324,"Cole, Kimberly",53.0
2325,"Douglas, Victor",88.0
2326,"Murray, Caroline",61.0
2327,"Ryan, Elian",83.0
2328,"Armstrong, Alexia",80.0
2329,"Brooks, Stuart",99.0
2330,"Richards, Tiana",83.0
2331,"Scott, Lilianna",80.0
2332,"Barnes, Daniel",63.0
2333,"Farrell, Garry",76.0
2334,"Turner, Agata",59.0
2335,"Stewart, Kellan",63.0
2336,"Cole, Nicholas",42.0
2337,"Kelly, Tyler",53.0
2338,"Carter, Patrick",89.0
2339,"Baker, Samantha",87.0
2340,"Hunt, Roland",81.0
2341,"Richardson, Abigail",66.0
2342,"Jones, Steven",40.0
2343,"Davis, Caroline",78.0
2344,"Alexander, Adrianna",65.0
2345,"Martin, Stella",78.0
2346,"Fowler, Adrian",81.0
2347,"Hill, April",60.0
2348,"Phillips, Martin",90.0
2349,"Taylor, Preston",77.0
2350,"Alexander, Kristian",74.0
2351,"Campbell, Preston",100.0
2352,"Cameron, Anna",73.0
2353,"Carter, Daryl",77.0
2354,"Holmes, Martin",55.0
2355,"Elliott, Antony",54.0
2356,"Scott, Ada",57.0
2357,"Brooks, Myra",81.0
2358,"Wright, Justin",74.0
2359,"Higgins, Steven",100.0
2360,"Phillips, Henry",84.0
2361,"Johnston, Carina",88.0
2362,"Wilson, Jasmine",75.0
2363,"Brown, Caroline",71.0
2364,"Higgins, Tara",95.0
2365,"Taylor, Abigail",83.0
2366,"Chapman, Myra",69.0
2367,"Kelly, Rafael",68.0
2368,"Wells, Tara",77.0
2369,"Alexander, Edith",59.0
2370,"Wright, Lily",90.0
2371,"Holmes, Owen",62.0
2372,"Phillips, Tara",51.0
2373,"Jones, Victoria",76.0
2374,"Tucker, Kirsten",50.0
2375,"Stewart, George",67.0
2376,"Douglas, Samantha",65.0
2377,"Brooks, Annabella",94.0
2378,"Hunt, Gianna",69.0
2379,"Douglas, April",64.0
2380,"Richardson, Wilson",73.0
2381,"Johnston, Jack",93.0
2382,"Martin, Tyler",32.0
2383,"Russell, Briony",69.0
2384,"Davis, Nicholas",80.0
2385,"Payne, Jasmine",52.0
2386,"Martin, Ashton",89.0
2387,"Ross, Sarah",80.0
2388,"Owens, Lilianna",50.0
2389,"Phillips, April",57.0
2390,"Wright, Garry",83.0
2391,"Scott, Tyler",77.0
2392,"Wilson, Penelope",82.0
2393,"Fowler, Carina",55.0
2394,"Chapman, Tara",50.0
2395,"Holmes, Patrick",83.0
2396,"Tucker, Lana",59.0
2397,"Taylor, Camila",89.0
2398,"Brown, Olivia",31.0
2399,"Clark, Alan",82.0
2400,"Davis, Catherine",58.0
2401,"Johnston, Kimberly",54.0
2402,"Clark, Byron",74.0
2403,"Baker, Kelsey",75.0
2404,"Johnston, Kelsey",73.0
2405,"Perkins, Sawyer",70.0
2406,"Casey, Owen",46.0
2407,"Barrett, Julia",42.0
2408,"Carter, Melissa",81.0
2409,"Tucker, James",64.0
2410,"Tucker, Belinda",70.0
2411,"Gray, Maria",75.0
2412,"Harris, Preston",65.0
2413,"Hall, Lily",79.0
2414,"Higgins, Alen",53.0
2415,"Douglas, Aida",80.0
2416,"Howard, Alisa",80.0
2417,"Miller, Justin",74.0
2418,"Harrison, Marcus",73.0
2419,"West, Rubie",48.0
2420,"Brooks, Arthur",74.0
2421,"Spencer, Alen",46.0
2422,"Russell, Byron",86.0
2423,"Brooks, Gianna",60.0
2424,"Ross, Melanie",77.0
2425,"Adams, Brad",68.0
2426,"Farrell, Henry",69.0
2427,"Perry, Alford",79.0
2428,"Perry, Eleanor",71.0
2429,"Cunningham, Roland",72.0
2430,"Evans, Olivia",65.0
2431,"Campbell, Richard",96.0
2432,"Murray, Lilianna",73.0
2433,"Barrett, Ada",64.0
2434,"Gray, Vivian",87.0
2435,"Moore, Bruce",48.0
2436,"Evans, Anna",78.0
2437,"Carroll, Charlie",68.0
2438,"Ross, Vivian",63.0
2439,"Douglas, Wilson",81.0
2440,"Spencer, Kelvin",73.0
2441,"Roberts, Amy",61.0
2442,"Reed, Kristian",68.0
2443,"Dixon, Jessica",100.0
2444,"Cooper, Steven",50.0
2445,"Myers, Melissa",71.0
2446,"Holmes, Jack",55.0
2447,"Anderson, Olivia",54.0
2448,"Murray, Vivian",67.0
2449,"Williams, Kellan",80.0
2450,"Warren, Abigail",75.0
2451,"Higgins, Aldus",100.0
2452,"Crawford, Myra",80.0
2453,"Anderson, Sarah",79.0
2454,"Bennett, Stuart",72.0
2455,"Stewart, Naomi",70.0
2456,"Tucker, Jenna",80.0
2457,"Reed, Patrick",73.0
2458,"Bennett, Amanda",74.0
2459,"Holmes, Valeria",58.0
2460,"Stewart, Abigail",60.0
2461,"Casey, George",41.0
2462,"Allen, Alan",76.0
2463,"Murphy, Walter",48.0
2464,"Anderson, Emma",59.0
2465,"Evans, Ryan",84.0
2466,"Johnston, Owen",72.0
2467,"Watson, Sabrina",39.0
2468,"Warren, Carina",68.0
2469,"Allen, Stella",89.0
2470,"Barnes, Amber",85.0
2471,"Morrison, Charlotte",61.0
2472,"Gray, Owen",100.0
2473,"Foster, Daryl",93.0
2474,"Elliott, Nicholas",89.0
2475,"Elliott, Stuart",66.0
2476,"Turner, Freddie",71.0
2477,"Anderson, Kirsten",85.0
2478,"Hunt, Oliver",90.0
2479,"Wright, Isabella",65.0
2480,"Howard, Ellia",57.0
2481,"Perkins, Charlie",64.0
2482,"Fowler, Sabrina",64.0
2483,"Murphy, Emma",45.0
2484,"Carter, Naomi",54.0
2485,"Evans, Julia",59.0
2486,"Campbell, Walter",65.0
2487,"Miller, Maximilian",88.0
2488,"Hill, Oscar",56.0
2489,"Alexander, Amber",57.0
2490,"Howard, Maddie",53.0
2491,"Watson, Paige",26.0
2492,"Brooks, Caroline",91.0
